# MARIO : 0,1,15,16 bên file Mario.txt
[MARIO]
.\textures\Mario\Mario.txt
[TEXTURES]
# id	file_path	transparent_color_r	g	b
# BRICK / ITEM BRICK / QUESTION BRICK / QUESTION BRICK ITEM / BRICK ITEM
2	textures\misc.png	176	224	248
3	textures\misc1.png	176	224	248
# WARPPIPE 
4	textures\enemies.png	3	26	110
# RED FIRE PLANT
5	textures\enemies3.png	156	219	239
# GOOMBA/KOOPAS
6	.\textures\Enemy\Goomba_Koopas\Left.png	19	36	36
7	.\textures\Enemy\Goomba_Koopas\Right.png	19	36	36
8	.\textures\Enemy\Goomba_Koopas\LeftUp.png	19	36	36
9	.\textures\Enemy\Goomba_Koopas\RightUp.png	19	36	36
# PLANT
10	.\textures\Enemy\Plant\GreenFirePlant.png	156	219	239
11	textures\ScoreBoard - Copy.png	255	255	255
# EFFECT
14	.\textures\Effect\effect.png	68	145	190
# ITEM
17	.\textures\Item\Item.png	68	145	190
# MONEY, FLYWOOD
18	.\textures\Object\Object.png	68	145	190
# boomerang
19	.\textures\Enemy\enemy.png	68	145	190
# không để dưới 2 cái này
# HUD : 12, 13 bên file HUD.txt
[HUD]
.\textures\HUD\HUD.txt
[MAP]
10000	.\textures\World\World1\Scene1.4Tile.png	255	255	255	.\textures\World\World1\Scene1.4Map.txt
# SCORE
# 100
1102	1110	100
# 200
1103	1111	100
# 400
1104	1112	100
# 800
1105	1113	100
# 1000
1106	1114	100
# 2000
1107	1115	100
# 4000
1108	1116	100
# 8000
1109	1117	100
# 1UP
1111	1118	100

#======== MARIO TAIL =========
# RIGHT
# 0
1200	1200	100
# 1
1201	1201	100
# 2
1202	1202	100
# 3
1203	1203	100
# 4
1204	1204	100
# 5
1205	1205	100
# 6
1206	1206	100
# 7
1207	1207	100
# LEFT
# 0
1208	1210	100
# 1
1209	1211	100
# 2
1210	1212	100
# 3
1211	1213	100
# 4
1212	1214	100
# 5
1213	1215	100
# 6
1214	1216	100
# 7
1215	1217	100
# INVISIBLE
1216	1208	100
# tail walking right 
1217	1206	100	1202	100	1207	100
# tail walking right 
1218	1216	100	1212	100	1217	100
# tail flying low right 
1219	1207	100	1205	100
# tail flying low left 
1220	1217	100	1215	100
#======== FLY WOOD =========
1300	1300	100
# ======= BOOMERANG ENEMY =========
#  walk right
1350	1350	100	1351	100
# walk left
1351	1352	100	1353	100
# throw right
1352	1354	100	1355	100
# throw left
1353	1356	100	1357	100
# die right
1354	1358	100
# die left
1355	1359	100
#== card == 
# mushroom
90005	90005	100
# flower
90006	90006	100
# star
90007	90007	100
# empty
90008	90008	100

[ANIMATION_SETS]
# BRICK 
1	200
# GOOMBA
2	300	301	302
# ======= RED KOOPAS =========
3	350	351	352	353	354	355	356	357	358	359
# QUESTION BRICK 
4	602	603
#WARPPIPE
5	500	501	502	503
#BLOCK
6	200
#QuestionBrickItem
8	800	801	802	803
#FirePlant
9	900	901	902	903	904	905	906	907
# ======= GREEN KOOPAS =========
10	360	361	362	363	364	365	366	367	368	369
# ======= GREEN FLY KOOPAS =========
11	360	361	362	363	364	365	366	367	368	369	370	371
# ======= GREEN FLY KOOPAS =========
23	350	351	352	353	354	355	356	357	358	359	375
# ======= COIN ========
12	800
# ======= ITEM BRICK ========
13	201	603
# ======= Break ITEM BRICK ========
22	210	211
# ===== BRICK ITEM =====
14	810	811	812	800
#===== GREEN PLANT ========
15	910
#=====  GREEN FIRE PLANT ========
16	911	912	913	914
# ====== card =======
19	90008	90005	90006	90007
#======== FLY WOOD =========
20	1300
# ======= BOOMERANG ENEMY =========
21	1350	1351	1352	1353	1354	1355

# Fire Bullet
100	1000	1001
# ====== Effect =======
# smoke
1100	1100
# Hit
1101	1110	1101
# SCORE
1102	1102	1103	1104	1105	1106	1107	1108	1109	1111
#======== MARIO TAIL =========
# RIGHT
1200	1200	1201	1202	1203	1204	1205	1206	1207	1208	1209	1210	1211	1212	1213	1214	1215	1216	1217	1218	1219	1220
#======== BUTTON P =========
1250	811	812



[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Question Brick
# MARIO
# bắt đầu
#0	0	80	0	2320	352
0	1936	30	0	2320	352
#0	976	112	0	2320	352
#----Block----
6	1952	128	6	48	36

#---- Ground-----
7	0	112	400	160	64
7	1904	160	400	144	16
# =====  ITEM BRICK ======
13	224	112	13	0
13	240	112	13	0
13	256	112	13	0
13	272	112	13	0

13	384	96	13	0
13	400	96	13	0
13	416	96	13	0
13	432	96	13	0
13	448	96	13	0

13	608	48	13	0
13	624	48	13	0
13	640	48	13	1
13	656	48	13	0

13	640	128	13	0
13	656	128	13	0

13	752	80	13	0
13	752	96	13	0
13	752	112	13	0
13	752	128	13	0
13	768	128	13	0
13	784	128	13	0
13	800	128	13	0

13	864	96	13	0
13	864	112	13	0
13	864	128	13	0
13	864	144	13	0
13	880	144	13	0
13	896	144	13	0

13	944	96	13	0
13	944	112	13	0
13	960	112	13	1

13	960	160	13	0
13	976	160	13	0
13	992	160	13	0
13	1008	160	13	0

13	1008	112	13	3
13	1024	112	13	0
13	1040	112	13	0
13	1056	112	13	0
13	1072	112	13	0

13	1168	144	13	0
13	1184	144	13	0
13	1200	144	13	0
13	1216	144	13	0

13	1184	64	13	0
13	1200	64	13	0
13	1216	64	13	0
13	1232	64	13	0
13	1232	48	13	1

13	1264	128	13	0
13	1280	128	13	0

13	1392	64	13	0
13	1408	64	13	0
13	1424	64	13	0

13	1536	48	13	3
13	1536	64	13	0

13	1536	128	13	0
13	1536	144	13	0
13	1536	160	13	0
13	1552	160	13	0
13	1568	160	13	0
13	1584	160	13	0

13	1728	48	13	0
13	1728	64	13	0
13	1728	80	13	0

13	1776	128	13	0
13	1792	128	13	0
13	1808	128	13	0

# ===== COIN ======
12	336	64	12
12	352	64	12
12	368	64	12

12	416	32	12
12	432	32	12
12	448	32	12

12	768	64	12
12	784	64	12
12	800	64	12

12	848	32	12
12	864	32	12
12	880	32	12

12	1328	48	12
12	1344	48	12
12	1360	48	12

12	1504	32	12
12	1504	48	12
12	1504	64	12
12	1504	80	12
12	1504	96	12
12	1504	112	12
12	1504	128	12
12	1504	144	12

12	1888	64	12
12	1904	64	12
12	1920	64	12

#======== FLY WOOD =========
20	368	80	20
20	560	112	20
20	592	64	20
20	624	160	20
20	752	96	20
20	1088	144	20
20	1200	80	20
20	1376	112	20
20	1408	96	20
20	1552	64	20
20	1744	144	20
20	1776	96	20
# Red fly koopas
23	1872	16	23
# red koopas
3	1984	96	3

#======= WARPPIPE =========
#objtype	x	y	aniset_id	width	height	HiddenWorld
200	1920	96	5	32	64	0	13
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	1944	120	1	6	6	13

1	2032	0	1	0
1	2032	16	1	0
1	2032	32	1	0
1	2032	48	1	0
1	2032	64	1	0
1	2032	80	1	0
1	2032	96	1	0
1	2032	112	1	0
1	2032	128	1	0
1	2032	144	1	0
