# MARIO : 0,1,15 bên file Mario.txt
[MARIO]
.\textures\Mario\Mario.txt
[TEXTURES]
# id	file_path	transparent_color_r	g	b
# BRICK / ITEM BRICK / QUESTION BRICK / QUESTION BRICK ITEM / BRICK ITEM
2	textures\misc.png	176	224	248
3	textures\misc1.png	176	224	248
# WARPPIPE 
4	textures\enemies.png	3	26	110
# RED FIRE PLANT
5	textures\enemies3.png	156	219	239
# GOOMBA/KOOPAS
6	.\textures\Enemy\Goomba_Koopas\Left.png	19	36	36
7	.\textures\Enemy\Goomba_Koopas\Right.png	19	36	36
8	.\textures\Enemy\Goomba_Koopas\LeftUp.png	19	36	36
9	.\textures\Enemy\Goomba_Koopas\RightUp.png	19	36	36
# PLANT
10	.\textures\Enemy\Plant\GreenFirePlant.png	156	219	239
11	textures\ScoreBoard - Copy.png	255	255	255
# EFFECT
14	.\textures\Effect\enemy.png	68	145	190
# HUD : 12, 13 bên file HUD.txt
[HUD]
.\textures\HUD\HUD.txt

[MAP]
300	textures\World\World1\Scene1.1Tile.png	255	255	255	textures\World\World1\Scene1.1Map.txt
50034	53	204	69	220	9
# shell revive 
50035	74	127	92	143	6
# shell 2 revive 
50036	74	225	92	241	9
# ======= GREEN FLY KOOPAS=========
# jump left
50037	105	129	121	156	6
50038	126	130	142	156	6
50039	147	129	163	156	6
#walk right
50040	203	129	219	156	7
50041	182	130	198	156	7
50042	161	129	177	156	7

#question brick normal
400	300	117	316	133	2
401	318	117	334	133	2
402	336	117	352	133	2
403	355	117	370	133	2
#question brick collision
404	372	117	388	133	2

#WarpPipe
500	5	86	21	102	4
501	21	86	37	102	4
502	5	102	21	118	4
503	21	102	37	118	4

#block
600	5	86	21	102	4

# ===== QUESTION BRICK ITEM ========
# MushRoom
800	300	189	316	205	2
#Money
801	303	99	313	115	2
802	322	99	330	115	2
803	341	99	347	115	2
# Leaf Left
804	300	208	316	222	2
# Leaf Right 
805	323	208	339	222	3

# ===== BRICK ITEM ========
# Green MushRoom
810	318	189	334	205	2

#=====  RED FIRE PLANT ========
# Up Right
900	8	188	24	220	5
# Up Mouth Right
901	28	188	44	220	5
# Down Right
902	48	188	64	220	5
#  Down Mouth Right
903	68	188	84	220	5
# Up Left
904	104	99	120	131	5
# Up Mouth Left
905	84	99	100	131	5
# Down Left
906	64	99	80	131	5
#  Down Mouth Left
907	44	99	60	131	5

#===== GREEN PLANT ========
# Mouth Open
910	7	108	23	131	6
# Mouth Close
911	7	137	23	161	6

#=====  GREEN FIRE PLANT ========
# Up Left
912	104	99	120	123	10
# Up Mouth Left
913	84	99	100	123	10
# Down Left
914	64	99	80	123	10
#  Down Mouth Left
915	44	99	60	123	10

#======== Fire Bullet ========
# Right
1000	240	554	248	562	0
1001	258	553	266	562	0
1002	258	574	266	582	0
1003	240	573	248	582	0
# Left
1004	198	554	206	562	0
1005	180	553	188	562	0
1006	180	574	188	582	0
1007	198	573	206	582	0

#======== Effect =========
# Smoke
1100	68	10	84	26	14
1101	86	12	98	24	14
1102	102	12	114	24	14
1103	118	13	129	23	14
# HIT
1105	9	14	23	28	14
1106	32	17	43	28	14
1107	51	20	59	28	14

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ====== BRICK =========
200	200	100
# ====== ITEM BRICK =========
201	201	100	202	100	203	100	204	100	205	100
# ==== GOOMBA  =========
# walk
300	300	100	301	100
# die
301	302	100
# die 2
302	303	100
# ======= RED KOOPAS =========
#walk left
350	50001	100	50002	100
#walk right
351	50011	100	50012	100
#shell
352	50013	100
# shell 2
353	50017	100
# shell right
354	50013	150	50014	200	50015	150	50016	150
# shell left
355	50013	150	50016	200	50015	150	50014	150
# shell 2 right
356	50017	150	50018	200	50019	150	50020	150
# shell 2 left
357	50017	150	50020	200	50019	150	50018	150
# shell revive
358	50013	150	50021	150
# shell 2 revive
#359	50017	150	50022	150
# ======= GREEN KOOPAS =========
#walk left
360	50023	100	50024	100
#walk right
361	50025	100	50026	100
#shell
362	50027	100
# shell 2
363	50031	100
# shell right
364	50027	150	50028	200	50029	150	50030	150
# shell left
365	50027	150	50030	200	50029	150	50028	150
# shell 2 right
366	50031	150	50032	200	50033	150	50034	150
# shell 2 left
367	50031	150	50034	200	50033	150	50032	150
# shell revive
368	50027	150	50035	150
# shell 2 revive
#369	50031	150	50036	150
# ======= GREEN FLY KOOPAS =========
#walk left
370	50037	100	50038	100	50039	100
#walk right
371	50040	100	50041	100	50042	100
#WarpPipe
500	500	100
501	501	100
502	502	100
503	503	100
# ==== QUESTION MARK BRICK =========
602	400	1000	400	100	401	100	402	100	403	100
# Empty
603	404	100
# ==== Question Brick Item =====
# Money
800	801	50	802	50	803	50	802	50
# MushRoom
801	800	100
# Leaf Left
802	804	100
# Leaf Right 
803	805	100
# ===== BRICK ITEM =====
# Green MushRoom
810	810	100
#==== RED FIRE PLANT ====
# Appear/Hide Up Right
900	900	100	901	100
# Appear/Hide Down Right
901	902	100	903	100
# Appear/Hide Up Left
902	904	100	905	100
# Appear/Hide Down Left
903	906	100	907	100
# Attack Up Right
904	901	100
# Attack Down Right
905	903	100
# Attack Up Left
906	905	100
# Attack Down Left
907	907	100
#===== GREEN PLANT ========
# HIDE/APPEAR
910	910	100	911	100
#=====  GREEN FIRE PLANT ========
# Appear/Hide Up Left
911	912	100	913	100
# Appear/Hide Down Left
912	914	100	915	100
# Attack Up Left
913	913	100
# Attack Down Left
914	915	100
# ====  Fire Bullet ======
# Right
1000	1000	500	1001	500	1002	500	1003	500
# Left
1001	1004	100	1005	100	1006	100	1007	100
# ====== Effect =======
# smoke
1100	1100	50	1101	50	1102	50	1103	50
# Hit
1101	1105	50	1106	50	1107	50

[ANIMATION_SETS]
# BRICK 
1	200
# GOOMBA
2	300	301	302
# ======= RED KOOPAS =========
3	350	351	352	353	354	355	356	357	358	359
# QUESTION BRICK 
4	602	603
#WARPPIPE
5	500	501	502	503
#BLOCK
6	200
#QuestionBrickItem
8	800	801	802	803
#FirePlant
9	900	901	902	903	904	905	906	907
#===== GREEN PLANT ========
15	910
#=====  GREEN FIRE PLANT ========
16	911	912	913	914
# ======= GREEN KOOPAS =========
10	360	361	362	363	364	365	366	367	368	369
# ======= GREEN FLY KOOPAS =========
11	360	361	362	363	364	365	366	367	368	369	370	371
# ======= COIN ========
12	800
# ======= ITEM BRICK ========
13	201	603
# ===== BRICK ITEM =====
14	810
# Fire Bullet
100	1000	1001
# ====== Effect =======
# smoke
1100	1100
# Hit
1101	1101

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Question Brick
# MARIO
# vi tri bat dau
0	50	350	0
#0	800	368	0
#0	1700	350	0
#0	2064	350	0
# tren cong' map an
#0	2256	64	0
#0	2048	300	0
#1100	800	430	1100
# GOOMBA
#2	220	400	2
#---- Ground-----
7	0	416	-1	3000	16

13	48	400	13	0
13	64	400	13	0
13	64	384	13	0

13	64	350	13	0
13	80	350	13	0
13	96	350	13	0
13	112	350	13	0
13	128	350	13	0
13	144	350	13	0
13	160	350	13	0
13	176	350	13	0
13	192	350	13	0
13	208	350	13	0
13	224	350	13	0
13	240	350	13	0
13	256	350	13	0
13	272	350	13	0
13	288	350	13	0
13	304	350	13	0
13	320	350	13	0
13	336	350	13	0
13	352	350	13	0
13	368	350	13	0
13	384	350	13	0
13	400	350	13	0
13	416	350	13	0
13	432	350	13	0
13	448	350	13	0
13	464	350	13	0
13	480	350	13	0
13	496	350	13	0
13	512	350	13	0
13	528	350	13	0
13	544	350	13	0
13	560	350	13	0
13	576	350	13	0
13	592	350	13	0
13	608	350	13	0
13	624	350	13	0
13	640	350	13	0
13	656	350	13	0
13	672	350	13	0
13	688	350	13	0
13	704	350	13	0
13	720	350	13	0
200	352	368	5	32	48
# ======= RED KOOPAS =========
3	220	350	3
